Employee ID;Age;Gender;Years at Company;Job Role;Monthly Income;Work-Life Balance;Job Satisfaction;Performance Rating;Number of Promotions;Overtime;Distance from Home;Education Level;Marital Status;Number of Dependents;Job Level;Company Size;Company Tenure;Remote Work;Leadership Opportunities;Innovation Opportunities;Company Reputation;Employee Recognition;Attrition
19288;33;0;1;4;8733;2;1;3;1;1;86;0;0;0;1;1;19;0;0;0;2;0;Stayed
17034;49;0;37;1;6252;0;1;2;2;0;60;1;2;4;2;0;70;0;0;0;2;2;Stayed
9697;29;1;9;2;7538;0;0;1;0;0;10;1;1;0;2;1;76;0;0;0;2;2;Stayed
17209;51;0;41;4;8733;2;1;1;2;1;18;3;2;3;1;1;72;0;0;0;2;2;Stayed
45399;57;0;33;2;8201;2;2;1;0;0;95;4;1;1;1;0;95;0;0;0;0;1;Stayed
58984;39;0;1;4;8079;3;1;2;1;0;23;3;0;0;0;0;20;0;0;0;1;0;Left
24208;36;1;13;1;5874;0;1;1;0;0;16;0;0;1;1;0;40;0;0;0;2;2;Left
14291;54;1;5;0;4656;2;0;1;0;1;63;0;0;0;1;0;60;0;0;0;2;0;Left
20748;48;1;9;0;4987;0;1;1;1;0;92;2;2;0;0;0;23;0;0;1;2;1;Left
13394;23;1;13;3;12507;0;1;2;0;0;86;0;0;1;1;0;83;0;0;1;2;0;Stayed
65251;45;0;21;2;7571;2;2;1;1;1;30;2;1;1;0;1;67;1;0;0;0;1;Stayed
6885;48;1;32;0;3535;2;0;1;0;1;48;1;1;0;2;0;84;0;0;0;2;0;Stayed
68576;45;0;34;4;8330;3;1;1;0;1;58;1;1;4;1;0;91;1;0;0;2;2;Stayed
69149;24;1;11;2;6334;2;1;1;0;1;55;1;2;2;2;1;28;0;0;1;2;1;Stayed
61864;42;1;1;3;8874;2;0;1;1;0;31;2;2;2;0;1;27;0;0;0;1;3;Stayed
29641;53;1;44;2;7364;1;0;1;1;0;92;2;1;0;1;1;55;0;1;0;2;2;Left
65586;39;1;22;4;5556;2;1;1;0;0;16;2;1;0;0;0;28;0;0;0;3;0;Left
15737;37;1;2;3;9293;2;1;3;0;0;55;1;1;0;1;1;54;0;0;1;0;0;Stayed
51448;37;1;6;4;7701;0;1;3;0;1;32;0;1;1;0;0;71;0;1;1;2;0;Stayed
12259;31;1;18;1;5105;1;3;1;2;0;82;1;0;2;2;1;46;0;0;1;3;3;Left
8881;37;1;9;2;8632;0;1;1;2;0;8;3;2;2;2;0;86;1;0;0;1;2;Stayed
17543;45;0;27;1;5315;2;1;1;2;1;74;2;1;4;0;1;70;0;0;1;1;0;Stayed
74472;57;0;23;1;5938;3;2;1;2;1;3;3;2;3;1;0;47;0;0;0;2;1;Stayed
64075;42;0;2;1;6213;0;1;1;0;0;5;1;0;4;0;1;69;0;0;0;2;1;Left
54804;31;0;17;1;5956;0;3;1;0;0;76;1;2;4;0;1;27;0;0;0;2;0;Left
24350;56;0;22;1;6605;3;1;3;2;1;47;1;1;2;1;0;74;0;0;0;2;0;Stayed
72189;34;1;12;4;8274;2;2;3;0;1;67;1;0;1;0;0;36;0;0;0;1;0;Left
36437;56;1;7;3;9878;2;2;1;2;0;58;3;0;1;0;1;22;0;0;0;2;0;Left
34857;47;0;36;3;8442;0;3;2;1;0;84;2;0;0;0;0;67;1;0;0;1;0;Left
26304;25;0;2;2;6690;0;3;2;0;1;14;2;1;2;0;0;25;1;0;0;2;1;Stayed
33177;25;0;3;2;8397;3;1;3;0;1;36;1;1;3;0;1;49;1;0;0;1;0;Stayed
70003;36;1;8;3;9775;0;1;1;1;1;79;1;0;1;1;0;61;0;0;1;2;2;Left
63046;41;1;28;1;5586;2;1;1;0;0;52;2;1;0;0;1;103;0;0;0;2;1;Stayed
30924;55;0;6;2;9355;0;2;1;0;1;44;1;1;3;2;1;64;0;0;1;1;2;Left
5254;48;0;18;3;7976;0;1;2;0;1;32;0;0;2;1;1;71;0;0;0;2;1;Left
33430;21;1;11;1;6356;1;1;1;0;0;89;2;1;0;2;0;12;0;0;0;2;2;Stayed
67450;34;1;21;1;5967;0;3;1;1;0;39;1;1;0;1;1;39;1;0;0;2;1;Stayed
66579;28;0;12;3;10111;0;0;1;2;0;37;0;1;3;1;1;33;0;0;0;2;0;Stayed
54104;26;1;3;4;8673;3;1;1;0;0;64;2;0;1;0;2;57;0;0;1;2;1;Left
18361;47;1;22;0;5040;0;2;0;3;1;7;0;1;0;1;0;58;1;0;0;2;0;Stayed
4098;30;0;22;3;9894;1;3;1;1;0;87;2;0;2;0;1;65;1;0;0;3;1;Left
27742;24;1;13;3;6785;2;1;1;0;0;24;1;0;3;2;1;57;0;0;1;0;2;Left
1591;23;0;2;4;7368;0;2;3;0;0;15;3;1;3;2;1;17;0;0;1;2;2;Stayed
27451;52;1;34;1;5154;0;0;1;0;1;16;0;0;2;1;1;83;0;0;0;0;1;Left
58305;51;1;16;2;8407;2;2;1;1;0;63;1;0;1;0;1;66;0;0;0;2;0;Left
19684;50;1;21;0;4195;2;2;1;2;1;76;1;1;2;0;1;100;1;0;0;2;3;Stayed
9392;45;1;6;0;4451;0;1;1;0;0;81;0;1;2;0;2;65;0;0;0;0;1;Stayed
18598;31;0;11;3;10122;0;1;1;2;0;58;1;1;0;2;1;62;1;0;0;1;0;Stayed
70231;50;1;35;4;7303;2;1;3;1;1;48;0;1;1;0;0;84;1;0;1;1;2;Stayed
65665;29;1;8;4;7946;1;2;1;0;0;75;2;0;1;1;0;17;0;1;0;1;2;Left
64242;27;1;14;4;6026;1;1;3;0;1;30;1;0;2;1;2;20;0;0;0;2;2;Left
23287;48;1;1;3;10135;1;1;0;0;1;13;1;0;3;0;1;72;0;0;0;2;1;Left
12556;47;1;24;2;8631;0;2;2;0;0;35;1;1;3;2;0;89;0;0;0;1;0;Stayed
68364;41;0;11;0;4431;1;2;2;0;0;8;2;1;2;2;0;80;0;0;0;3;0;Left
31457;53;0;2;0;3598;2;1;1;0;1;98;2;0;1;0;2;69;0;0;1;0;1;Left
14169;37;0;2;2;7949;3;0;1;0;0;95;0;1;5;0;2;6;1;0;0;3;0;Stayed
43193;21;0;10;2;7967;0;1;1;0;0;44;3;0;1;2;2;64;0;0;0;0;2;Stayed
67257;53;0;23;2;8876;0;3;1;2;1;68;0;1;3;0;0;78;0;0;1;2;2;Left
52985;45;0;28;1;6628;2;1;1;0;1;56;1;1;3;2;0;30;0;0;0;0;0;Left
31826;49;1;9;2;8340;2;1;2;1;0;73;1;0;0;0;2;77;0;0;0;0;0;Left
64500;37;1;22;4;10080;1;1;1;0;0;21;1;1;1;1;0;69;0;0;0;2;1;Left
24841;39;1;9;4;8860;2;0;3;0;1;26;1;1;1;1;0;61;0;0;0;0;1;Left
62882;27;1;17;1;5678;0;1;1;2;0;41;1;1;2;1;0;54;0;0;0;2;0;Stayed
7424;58;1;14;3;8683;1;1;1;2;0;34;1;2;0;2;2;87;1;1;1;2;0;Stayed
9870;49;0;2;0;4042;2;1;3;0;0;29;2;2;2;0;0;58;0;0;0;2;2;Left
6688;54;1;24;3;9737;1;0;3;0;0;8;1;1;0;0;0;88;1;0;0;0;0;Stayed
3625;38;1;18;0;5246;2;1;2;0;1;84;3;2;2;1;0;20;0;0;0;2;0;Left
66157;19;0;1;4;10141;2;1;1;1;0;19;1;0;1;0;2;41;0;0;1;0;1;Left
46550;43;1;34;3;9033;2;1;3;1;0;50;0;1;1;0;0;97;0;0;0;1;1;Stayed
60485;30;1;10;1;5397;3;3;1;1;1;68;1;1;0;0;2;75;0;0;0;1;0;Left
26078;31;1;19;2;6135;2;1;2;0;0;41;4;0;0;0;0;88;0;0;0;2;1;Stayed
13319;47;1;28;2;7063;1;2;3;0;0;62;2;1;0;2;0;49;0;0;1;2;1;Stayed
65739;58;0;40;1;6940;2;1;2;0;0;49;1;1;1;2;2;67;1;0;0;1;1;Stayed
43732;40;1;17;0;4733;1;1;3;1;0;69;4;1;4;0;1;60;0;0;0;3;1;Stayed
45545;35;1;17;2;7625;2;1;2;0;0;26;1;1;0;1;2;31;0;0;0;2;2;Stayed
72101;31;0;2;3;6640;0;0;1;0;0;13;2;2;4;2;2;33;0;0;1;2;2;Stayed
46992;31;1;8;3;7287;3;0;2;2;1;33;3;0;0;0;1;69;0;0;1;3;1;Stayed
54577;40;1;5;2;6993;0;0;1;0;1;57;0;0;0;0;2;75;0;0;0;0;0;Left
23371;49;0;22;4;12041;3;1;0;0;0;62;4;0;6;1;1;23;0;0;1;2;0;Stayed
41178;33;0;1;4;6534;0;3;1;1;0;21;3;0;4;0;1;12;0;0;0;2;1;Left
17004;52;1;15;2;7529;2;0;1;0;0;61;1;1;5;0;2;34;0;0;0;2;3;Stayed
18068;51;1;12;4;4421;2;1;1;1;0;62;3;0;0;0;0;14;1;0;0;2;2;Stayed
19252;27;0;11;3;9197;2;1;2;0;1;53;0;1;2;2;2;35;0;0;0;2;1;Stayed
65212;58;1;6;2;8762;0;1;2;0;1;72;1;1;0;0;1;38;0;0;0;2;1;Left
36263;42;0;7;3;8744;2;0;2;1;1;41;0;0;3;0;1;71;1;0;1;2;1;Left
23691;26;1;3;2;7406;2;3;0;3;0;91;2;1;0;0;0;57;1;0;0;1;0;Left
20242;37;0;7;1;6099;2;1;2;0;0;19;1;1;0;2;1;16;1;0;0;3;0;Stayed
52881;55;1;13;3;9626;2;1;1;2;0;27;1;0;0;2;1;81;0;0;1;2;2;Stayed
32705;46;0;6;3;10298;0;1;1;0;0;47;1;0;0;0;0;84;0;0;0;0;0;Left
71450;41;1;2;3;8972;2;2;1;1;0;76;3;2;1;1;2;72;0;0;1;3;0;Left
29475;58;0;14;3;9501;0;0;1;1;1;56;1;0;4;0;2;52;0;0;0;1;1;Left
34465;40;0;22;0;4023;3;2;0;0;0;58;3;1;4;0;0;55;0;1;0;2;1;Left
21012;53;1;41;4;8332;1;1;3;0;0;24;3;0;4;0;0;47;0;0;0;2;2;Left
42659;46;0;9;0;4237;0;0;1;0;1;36;1;1;1;2;2;20;0;0;0;1;1;Left
47934;45;1;9;0;6437;0;1;2;1;0;53;2;1;4;1;0;31;0;0;0;1;1;Left
71441;56;1;32;2;6690;3;0;2;1;0;35;0;1;1;0;1;80;0;0;0;0;0;Stayed
63893;23;1;11;3;7038;2;0;1;0;0;74;2;1;0;0;2;55;0;0;0;0;0;Left
29637;55;1;40;2;9177;0;3;3;0;0;65;2;0;0;1;0;106;0;0;0;3;0;Left
38110;48;0;19;3;8761;2;1;3;0;0;75;0;1;3;0;0;90;1;0;0;1;3;Stayed
70639;47;1;24;1;5428;3;3;1;0;1;93;2;2;1;0;0;49;0;0;0;2;1;Stayed
8021;26;0;8;2;7859;2;0;1;4;0;44;0;1;5;2;1;35;0;0;0;2;0;Stayed
28368;21;1;4;3;10298;2;1;1;2;0;28;0;0;0;2;0;53;0;0;0;0;0;Left
575;44;1;13;2;7430;2;3;1;1;1;23;2;1;3;1;0;73;0;0;0;2;0;Stayed
49959;24;1;2;0;4573;0;1;2;2;1;37;1;1;0;2;1;62;0;0;0;2;1;Stayed
72401;31;1;13;3;9434;2;2;3;0;0;76;1;1;0;1;0;83;1;0;0;0;0;Stayed
24980;45;0;24;4;4583;3;2;2;2;1;55;2;1;1;1;0;62;0;0;0;2;1;Left
11385;19;1;3;2;7979;0;0;0;1;1;46;0;1;2;0;0;27;0;0;1;0;1;Left
4856;59;0;30;3;10166;3;1;1;1;0;32;2;1;1;0;0;37;0;0;0;2;2;Left
14265;50;1;35;1;5316;0;1;1;2;0;21;1;1;0;1;0;80;1;0;0;2;1;Stayed
370;59;1;45;3;10030;2;3;1;2;0;64;0;1;3;1;2;52;0;0;0;1;0;Left
25774;54;1;2;2;8736;2;2;1;0;1;86;2;0;1;0;1;5;0;0;0;1;0;Left
53105;58;0;39;2;6929;0;1;2;0;0;56;2;1;3;0;2;76;0;1;1;1;2;Left
40919;21;1;2;2;10167;0;1;2;0;1;54;2;1;2;1;0;65;0;0;0;0;1;Left
63135;51;1;16;2;9063;1;2;1;0;0;9;2;0;1;1;1;90;0;0;1;2;0;Left
65852;45;0;20;2;8926;3;1;1;4;0;89;0;0;1;2;1;80;1;0;0;2;1;Stayed
32413;30;0;15;0;3204;2;1;0;0;0;45;1;2;1;2;1;94;0;1;0;3;0;Stayed
71343;29;0;11;4;9306;0;1;1;0;0;51;3;0;2;0;2;45;0;0;0;3;0;Left
27498;59;1;43;0;4862;2;3;1;0;0;28;2;1;1;1;1;119;0;0;0;2;2;Stayed
57482;35;0;26;3;7576;3;1;0;4;0;81;0;1;5;1;1;53;0;0;1;2;0;Stayed
38163;40;0;29;4;11735;0;1;1;3;0;87;2;2;3;0;1;56;0;0;0;0;1;Stayed
55188;20;1;2;1;6453;3;0;1;0;0;51;2;1;0;0;1;62;0;0;0;2;2;Stayed
43292;50;1;18;3;7359;2;1;2;1;0;67;2;2;2;0;0;63;0;0;0;2;0;Left
72087;44;1;35;2;7838;0;1;1;1;0;19;2;1;4;2;1;53;0;0;0;3;2;Stayed
23689;20;0;3;3;10943;1;1;3;0;0;62;2;0;0;0;0;15;0;0;0;0;1;Left
41073;28;1;20;4;10513;2;1;1;0;0;73;1;1;1;1;0;94;0;1;0;1;1;Stayed
24229;28;1;6;2;6669;2;2;2;0;0;39;4;0;3;1;2;41;0;0;0;1;0;Left
26101;36;1;17;3;8309;2;1;1;2;1;24;2;0;0;1;2;89;0;0;0;2;0;Stayed
18495;40;1;4;1;6426;0;1;1;0;0;13;1;1;1;0;0;10;0;0;0;3;1;Left
70389;56;0;46;2;8423;2;1;2;0;0;96;3;0;3;0;0;118;0;0;0;0;1;Left
13011;47;1;1;3;8723;2;2;2;2;0;73;0;1;1;2;1;32;0;0;0;0;0;Stayed
34213;21;1;13;2;9152;1;1;1;0;0;60;1;1;0;0;0;20;1;0;0;2;3;Stayed
1115;18;0;7;3;8546;1;2;2;0;1;94;0;0;1;2;1;64;1;0;0;0;2;Left
68988;22;0;13;1;5797;3;2;3;0;0;78;4;1;4;0;1;49;1;0;0;2;1;Stayed
36546;52;1;19;0;3625;0;1;1;1;0;54;0;1;2;1;1;32;0;0;0;2;0;Stayed
12809;44;1;36;4;8048;0;2;1;2;0;72;0;0;3;1;0;57;1;0;0;0;1;Left
46298;42;1;26;0;4205;2;1;1;1;0;89;3;0;3;2;0;39;0;0;0;0;2;Stayed
37508;53;1;41;0;4373;0;1;1;2;1;91;3;1;4;1;0;53;0;0;0;1;1;Left
51580;22;1;2;4;6925;3;1;1;1;0;79;2;1;2;2;0;73;1;0;0;0;1;Stayed
43465;50;1;38;2;8299;0;3;0;0;0;28;1;0;0;1;2;59;0;0;0;0;2;Left
36678;56;0;40;3;11556;2;0;1;2;0;1;4;0;2;1;1;66;0;0;0;3;1;Stayed
41684;42;1;10;1;5820;0;2;2;1;1;86;0;0;2;2;1;82;0;0;1;3;2;Left
70584;18;1;6;3;7631;0;3;3;0;0;1;3;0;3;0;0;69;0;0;0;2;0;Left
19528;39;1;3;1;5891;2;3;1;2;1;88;0;2;4;1;1;9;0;0;0;2;1;Left
69121;22;0;9;4;8376;0;1;3;3;0;46;0;0;1;1;0;11;0;0;0;2;1;Left
18487;28;1;3;1;6185;0;1;1;0;0;51;2;1;0;1;0;62;0;0;1;0;0;Left
20960;47;0;13;2;6467;2;1;3;2;0;25;1;2;2;0;0;82;0;0;0;1;2;Left
4392;56;0;6;4;6954;2;1;1;1;0;65;1;1;2;0;1;17;1;0;0;2;1;Left
6112;51;0;33;3;7647;2;3;1;1;1;6;0;1;1;1;1;44;0;0;0;0;0;Left
40908;55;0;43;2;7440;1;0;2;0;1;1;0;1;0;0;1;97;1;0;0;2;1;Left
53019;56;1;38;2;8883;1;3;1;0;0;69;3;2;3;1;0;100;0;0;0;0;0;Left
19879;24;1;8;0;5652;2;1;2;0;0;76;0;1;1;2;1;23;0;0;0;0;1;Stayed
63588;26;1;5;4;7376;0;1;1;0;0;70;1;1;1;2;2;33;0;0;1;1;0;Left
58518;52;1;26;3;7306;2;3;1;0;1;19;0;0;3;0;1;35;1;0;0;0;0;Stayed
62060;54;1;42;4;10006;2;1;3;0;0;75;3;1;1;2;1;93;0;0;0;2;1;Stayed
1127;45;1;6;3;11421;1;1;1;1;0;18;1;2;4;1;1;27;1;0;1;2;0;Stayed
59154;20;1;9;2;8161;2;3;1;0;0;86;1;0;2;1;0;35;0;0;0;2;1;Left
37737;51;1;10;0;3755;2;1;1;0;0;61;0;2;0;0;0;26;0;0;0;2;1;Left
8386;51;1;22;1;5405;3;0;1;1;0;57;3;1;3;0;1;27;0;0;0;0;1;Stayed
45849;59;1;32;0;4113;3;1;2;0;1;48;3;0;3;0;0;82;0;0;0;2;0;Left
61853;47;1;38;1;6008;0;2;1;0;0;12;0;1;0;1;1;49;1;0;0;2;1;Stayed
37320;58;1;2;1;6363;0;1;1;2;0;19;0;1;2;1;2;27;0;0;0;1;1;Stayed
29497;40;0;27;1;5980;2;0;2;0;0;35;4;0;2;1;1;52;0;0;0;2;2;Stayed
3777;45;0;10;1;5475;2;1;1;0;0;99;0;1;0;1;0;26;0;0;0;2;1;Stayed
62193;38;0;7;1;6160;2;1;1;2;0;53;1;1;4;0;0;24;0;0;0;2;2;Stayed
50742;29;1;9;1;6336;0;1;3;1;0;95;1;1;3;0;0;79;0;0;1;1;0;Left
65915;41;0;29;1;6243;0;1;1;0;0;78;1;1;4;0;0;55;0;0;1;1;2;Left
51389;38;1;14;1;5733;3;2;1;1;0;12;1;1;2;1;0;62;0;0;0;1;2;Stayed
48390;51;0;16;3;8988;2;1;3;1;1;94;0;1;1;0;1;36;0;0;0;2;2;Stayed
27698;38;0;22;1;5744;2;2;2;1;0;95;2;1;3;0;0;62;0;0;0;1;0;Left
35432;46;0;14;4;6555;3;1;1;0;0;4;3;0;0;1;1;92;1;0;0;2;0;Stayed
59888;53;1;23;3;7633;2;2;1;0;0;44;1;2;2;1;0;91;0;0;0;0;3;Left
32936;41;1;26;0;4724;2;2;1;1;0;7;1;0;2;2;0;80;0;0;0;1;0;Stayed
46731;28;1;4;3;9892;2;0;2;2;0;9;2;0;4;0;0;20;0;0;0;2;3;Left
5437;34;1;6;3;10220;2;3;3;1;1;97;2;0;1;0;1;41;1;0;0;2;3;Left
38452;33;1;12;0;2386;1;0;1;1;1;73;1;1;0;1;0;64;0;0;0;2;2;Left
1744;38;1;25;4;10903;2;1;2;2;1;29;2;0;0;2;0;63;0;0;0;0;0;Stayed
13298;52;1;19;1;6139;0;2;1;2;0;68;3;2;0;0;1;92;0;0;0;1;0;Left
62811;19;1;11;0;4410;0;1;2;2;1;42;1;0;1;0;0;25;0;0;0;2;1;Left
21924;46;1;17;3;6977;3;1;1;0;0;8;2;1;0;1;0;74;0;0;0;0;3;Stayed
21668;27;0;12;4;9249;0;3;1;0;1;32;1;0;0;0;2;22;0;0;0;1;3;Left
2631;59;1;40;2;8328;2;2;2;0;0;46;2;0;0;0;1;44;0;0;1;1;0;Left
26369;58;0;44;2;8331;0;0;2;2;0;38;2;2;1;1;1;117;0;0;0;2;3;Left
9740;50;1;42;3;7639;1;3;2;0;0;91;0;1;0;0;0;49;0;0;0;2;2;Left
63053;48;0;31;3;11164;2;0;1;3;0;72;0;0;1;1;0;74;0;0;0;1;0;Left
10997;57;1;18;3;8580;0;0;3;1;0;84;1;0;3;0;0;60;1;0;0;0;1;Stayed
48313;50;1;30;2;8113;0;1;2;0;0;19;0;0;0;2;0;78;0;0;0;2;0;Stayed
32586;22;1;5;2;9117;2;1;3;0;0;7;1;0;4;1;1;34;0;0;0;3;1;Stayed
48664;28;1;6;3;8571;1;0;3;0;0;35;2;1;2;0;1;55;0;0;0;2;2;Left
40055;19;0;6;4;9016;2;3;1;0;0;28;3;1;1;0;0;48;0;0;1;2;0;Left
33249;47;0;16;3;9128;2;1;2;1;0;90;4;2;3;2;1;17;0;0;0;2;2;Stayed
12148;33;1;19;3;9380;2;1;1;1;0;65;4;1;3;1;0;53;0;0;0;1;0;Stayed
25555;31;0;14;3;8143;2;2;1;1;1;54;2;0;0;2;1;77;0;0;0;2;1;Left
67005;26;1;5;2;8268;2;0;1;4;0;6;3;0;4;1;2;53;0;0;0;3;1;Stayed
32739;51;1;28;2;7345;0;1;1;1;0;43;0;0;0;0;0;29;0;0;0;1;0;Left
72993;44;1;34;3;10286;2;1;1;1;0;63;0;1;4;0;0;53;1;0;0;3;3;Stayed
56992;30;1;20;0;4281;2;1;1;0;0;63;0;0;4;1;0;61;0;0;1;2;1;Stayed
39770;55;1;8;4;12985;0;2;3;2;0;41;3;1;4;1;0;22;0;0;0;0;0;Left
11760;33;1;16;1;5629;0;1;3;0;0;15;1;0;1;2;0;46;0;0;0;0;0;Left
10728;27;1;9;4;9279;2;1;1;2;0;69;0;1;1;1;0;36;0;0;0;2;3;Stayed
56207;49;0;41;3;8549;0;0;3;1;0;13;1;1;0;0;1;60;0;0;0;2;0;Left
61041;41;1;21;4;7838;2;1;1;2;1;99;2;2;3;0;2;69;0;0;0;1;2;Left
44027;27;0;2;1;5196;3;2;3;1;0;75;1;1;1;1;2;18;0;0;0;1;0;Left
44324;22;0;2;2;8184;3;1;3;1;0;98;1;0;6;0;1;79;1;0;0;3;1;Left
30266;22;0;8;0;4522;2;0;1;0;1;18;3;1;0;0;0;26;1;0;0;0;3;Stayed
11070;50;1;36;0;4911;2;0;1;1;0;59;1;1;4;1;1;94;1;0;0;0;1;Stayed
73806;20;0;8;4;8713;1;3;0;1;0;82;1;0;0;1;0;25;0;1;0;2;2;Left
36084;36;0;9;2;9055;3;1;1;0;0;61;1;2;4;1;2;24;1;0;1;2;1;Stayed
10766;34;1;10;4;8721;3;3;1;0;0;76;2;1;0;0;2;11;1;0;0;2;0;Stayed
69113;38;1;14;1;4496;2;1;1;3;1;76;1;1;0;0;1;86;0;0;1;1;0;Left
39930;20;0;6;2;5970;2;1;1;1;1;54;2;1;2;0;1;27;0;0;0;2;0;Left
23154;42;0;6;2;7741;3;1;1;0;0;4;3;2;3;0;1;28;0;0;0;2;2;Stayed
73725;48;0;40;3;9533;0;0;1;1;0;81;4;0;5;2;0;61;0;0;0;2;1;Stayed
36925;29;0;15;0;4738;2;2;3;0;1;76;2;0;4;0;2;35;1;0;0;2;1;Left
11408;32;0;6;1;5879;2;1;3;0;0;47;4;1;2;2;0;72;1;0;0;2;1;Stayed
57096;26;1;17;1;6523;2;1;2;2;1;85;3;0;3;0;0;86;1;0;1;2;2;Left
41895;48;0;15;3;6837;0;1;1;0;0;36;1;0;0;1;0;70;0;0;0;1;1;Stayed
21808;44;1;31;1;6033;1;2;2;2;0;28;2;1;0;1;2;38;1;0;0;1;1;Stayed
8762;59;0;45;4;8127;2;1;2;0;1;22;2;1;1;1;2;79;0;0;0;1;2;Left
49173;25;0;17;2;8611;2;1;1;0;0;4;2;0;5;0;0;60;0;0;0;2;0;Stayed
31692;43;1;27;0;3536;2;0;1;0;0;48;2;0;3;0;0;85;1;0;0;3;0;Stayed
68269;25;0;10;1;6205;3;3;1;0;0;50;3;0;3;1;0;74;0;0;0;1;1;Left
2806;55;1;33;0;4831;2;1;0;0;1;63;0;1;5;2;1;50;0;0;0;1;1;Left
30591;18;0;9;1;4764;3;1;1;1;0;93;3;1;1;0;2;57;0;0;0;2;2;Stayed
37357;59;1;30;0;5520;1;2;1;0;0;50;1;0;0;1;0;58;0;0;0;2;2;Left
49333;40;0;12;2;8482;0;1;1;1;0;18;3;2;1;0;2;46;0;0;0;1;1;Left
29892;22;0;1;1;6326;2;1;1;0;0;2;1;1;4;0;0;79;0;0;0;2;1;Stayed
66517;58;0;17;0;4952;2;1;2;2;0;49;1;0;1;1;1;28;0;0;0;3;1;Left
66253;39;1;13;2;8976;2;1;3;4;0;82;3;2;0;0;0;25;0;0;0;2;1;Stayed
533;40;1;29;0;4592;1;2;1;0;1;68;3;0;2;0;0;72;0;0;0;2;0;Left
17365;36;1;13;1;6389;2;1;1;1;1;87;1;1;5;1;2;64;0;0;0;2;1;Stayed
71666;19;1;5;2;8482;1;2;2;0;0;57;0;2;5;2;0;31;0;0;0;0;0;Stayed
73013;20;0;8;3;7412;3;1;1;1;0;19;1;0;0;2;2;81;0;0;0;2;0;Stayed
65545;45;1;15;2;7730;1;2;2;0;0;81;3;1;2;0;0;76;1;0;0;1;1;Stayed
14039;18;1;10;1;5842;2;0;2;0;0;84;2;1;0;2;2;21;0;0;1;2;0;Stayed
26339;32;0;13;0;3951;1;1;1;0;0;56;4;0;2;1;0;82;0;0;0;2;0;Left
45072;20;1;10;1;5784;0;0;1;0;0;1;1;0;6;2;0;68;0;0;0;3;1;Stayed
47491;33;0;11;3;9415;0;1;2;2;1;97;1;0;2;2;2;46;0;0;0;0;1;Stayed
69251;43;1;20;3;10994;2;0;1;2;0;7;4;0;3;0;0;24;0;0;0;0;0;Stayed
41371;32;0;11;3;9305;0;1;3;0;1;35;1;0;3;0;2;67;0;0;0;3;0;Left
28119;37;1;12;4;11806;1;1;1;2;0;50;2;1;4;0;1;76;0;0;0;2;0;Stayed
21395;19;1;8;1;6113;2;1;1;0;0;58;4;0;0;0;2;44;0;0;0;3;2;Stayed
45252;20;0;12;3;9242;0;2;3;1;0;71;0;1;0;0;1;73;0;0;0;3;0;Left
46811;30;1;7;3;6279;2;1;1;2;1;90;2;0;2;0;0;48;0;0;0;1;1;Left
33046;40;1;11;3;10512;0;2;2;0;0;74;2;1;2;2;2;66;0;0;0;2;2;Stayed
62819;34;1;19;2;7909;0;3;1;2;1;12;1;1;3;1;1;48;0;0;1;1;0;Left
37344;55;1;5;1;5788;0;0;1;0;0;63;3;2;1;2;0;13;0;0;0;1;2;Stayed
